Number,Street,County,Zipcode,Longitude,Latitude
755,Memorial Dr,Kennebec,04364,-69.9502532,44.3301863
759,Memorial Dr,Kennebec,04364,-69.9500722,44.3306289
769,Memorial Dr,Kennebec,04364,-69.9496026,44.331065
772,Memorial Dr,Kennebec,04364,-69.9503366,44.3310769
773,Memorial Dr,Kennebec,04364,-69.949512,44.3312773
784,Memorial Dr,Kennebec,04364,-69.9503135,44.3315902
792,Memorial Dr,Kennebec,04364,-69.9502417,44.3318024
795,Memorial Dr,Kennebec,04364,-69.949134,44.3319511
798,Memorial Dr,Kennebec,04364,-69.9500883,44.3320107
802,Memorial Dr,Kennebec,04364,-69.9497214,44.3322028
803,Memorial Dr,Kennebec,04364,-69.9489364,44.3321418
808,Memorial Dr,Kennebec,04364,-69.949618,44.3324063
809,Memorial Dr,Kennebec,04364,-69.948611,44.3325722
814,Memorial Dr,Kennebec,04364,-69.9491967,44.3327249
824,Memorial Dr,Kennebec,04364,-69.949076,44.3330185
834,Memorial Dr,Kennebec,04364,-69.9486668,44.33331
846,Memorial Dr,Kennebec,04364,-69.9483671,44.3337851
856,Memorial Dr,Kennebec,04364,-69.9483078,44.3339927
857,Memorial Dr,Kennebec,04364,-69.9478423,44.3339065
865,Memorial Dr,Kennebec,04364,-69.9477528,44.3341953
882,Memorial Dr,Kennebec,04364,-69.9481324,44.3347864
898,Memorial Dr,Kennebec,04364,-69.9480023,44.3352781
906,Memorial Dr,Kennebec,04364,-69.9479421,44.3354317
930,Memorial Dr,Kennebec,04364,-69.9467989,44.3364945
964,Memorial Dr,Kennebec,04364,-69.9464074,44.33711
968,Memorial Dr,Kennebec,04364,-69.9462079,44.3371881
988,Memorial Dr,Kennebec,04364,-69.9456556,44.3375528
998,Memorial Dr,Kennebec,04364,-69.9451407,44.3379037
1001,Memorial Dr,Kennebec,04364,-69.9444367,44.3374234
1006,Memorial Dr,Kennebec,04364,-69.9447388,44.3378755
1020,Memorial Dr,Kennebec,04364,-69.9437949,44.3380724
1036,Memorial Dr,Kennebec,04364,-69.9429474,44.3380299
1040,Memorial Dr,Kennebec,04364,-69.9424369,44.3378765
1100,Memorial Dr,Kennebec,04364,-69.9396177,44.3384714
9,Wings Dr,Kennebec,04364,-69.9652289,44.3160251
37,Beechwood Dr,Kennebec,04364,-69.944943,44.3373111
72,Beechwood Rd,Kennebec,04364,-69.946673,44.3356853
70,Bowdoin St,Kennebec,04364,-69.9729945,44.3090359
97,Bowdoin St,Kennebec,04364,-69.9719854,44.3098097
