Longitude,Latitude,Altitude
-69.955064,44.369037,68.559416
-69.954911,44.369175,66.778315
-69.954867,44.369297,66.140265
-69.954525,44.369417,65.709286
-69.954334,44.369402,66.210525
-69.954116,44.369306,66.16688
-69.953809,44.369342,68.73076
-69.953529,44.369482,66.602707
-69.95338,44.369635,67.163708
-69.95313,44.369842,67.080108
-69.952889,44.370043,67.608734
-69.952723,44.370266,65.202177
-69.952603,44.370486,64.427573
-69.952456,44.370666,65.765894
-69.952295,44.370777,65.823264
-69.952057,44.370851,64.432872
-69.951981,44.371027,64.036884
-69.952222,44.371048,65.236745
-69.952337,44.371129,65.112927
-69.952352,44.37132,64.623858
-69.952365,44.371524,64.473811
-69.952465,44.371754,64.754932
-69.952551,44.371921,64.808852
-69.952623,44.372125,64.544609
-69.952638,44.372228,64.036805
-69.952783,44.372263,64.193137
-69.952947,44.372175,67.779958
-69.953235,44.372153,65.647121
-69.95333,44.372187,64.470719
-69.953514,44.372013,67.744288
-69.953591,44.371813,65.611115
-69.953543,44.371696,65.271463
-69.953427,44.371586,65.634759
-69.95341,44.371409,64.036453
-69.953356,44.37127,64.593207
-69.953422,44.371197,65.004973
-69.953595,44.371283,64.170655
-69.953751,44.371214,64.840373
-69.953942,44.371145,66.227519
-69.954151,44.371115,66.705304
-69.954284,44.37107,69.306689
-69.954515,44.370995,67.703396
-69.954644,44.370972,64.822561
-69.954617,44.370783,67.179968
-69.954612,44.370605,68.759477
-69.954556,44.3705,70.839132
-69.954725,44.370363,65.960076
-69.954771,44.370214,67.453097
-69.954858,44.37011,65.843477
-69.954913,44.369947,69.407598
-69.955024,44.369832,69.601159
-69.955149,44.36971,68.72765
-69.955191,44.369593,71.218128
-69.955257,44.369455,67.24577
-69.955225,44.369286,68.458606
-69.955183,44.36919,70.07352
-69.955064,44.369037,68.559416
