Longitude,Latitude,Altitude
-69.948143,44.345474,69.073814
-69.948369,44.345262,66.090861
-69.948546,44.345038,64.966244
-69.948499,44.34474,65.491296
-69.948556,44.344578,65.362059
-69.948512,44.344473,66.689841
-69.948253,44.344525,67.247748
-69.948046,44.344556,66.920151
-69.947899,44.344443,64.950038
-69.947831,44.344306,64.036328
-69.947686,44.344198,64.03631
-69.947527,44.3441,64.036488
-69.947293,44.344045,66.146149
-69.947067,44.344007,65.165906
-69.94686,44.344016,66.151927
-69.946626,44.344017,65.861552
-69.946406,44.344077,66.336195
-69.946115,44.34405,65.749067
-69.945895,44.343983,64.484126
-69.945621,44.34394,64.89735
-69.945383,44.343906,65.259522
-69.945185,44.34384,65.172729
-69.944891,44.343799,66.997812
-69.944735,44.343743,67.917027
-69.944463,44.343671,65.891515
-69.944275,44.34377,65.811023
-69.944099,44.343922,64.551291
-69.944097,44.344007,65.142378
-69.94415,44.344179,64.663036
-69.944309,44.344313,65.100836
-69.944269,44.344469,64.528624
-69.944089,44.344708,65.824993
-69.943967,44.344896,66.077756
-69.943984,44.345033,65.966401
-69.944115,44.34521,64.102121
-69.944242,44.345298,64.036574
-69.944193,44.345044,65.151566
-69.944252,44.344825,64.507501
-69.944512,44.344624,64.23561
-69.944852,44.344491,64.199511
-69.945092,44.344437,64.3578
-69.945327,44.344485,64.409899
-69.945499,44.344691,64.525936
-69.945668,44.344878,64.099196
-69.945975,44.345063,64.246839
-69.946202,44.345176,64.399246
-69.946487,44.345364,64.189668
-69.946625,44.345573,64.048769
-69.946705,44.345756,64.036358
-69.946762,44.345929,64.331369
-69.946707,44.34604,64.718682
-69.946665,44.346159,64.499573
-69.946811,44.346316,67.791953
-69.946918,44.346433,68.001736
-69.947077,44.346576,66.937803
-69.947174,44.346656,65.233956
-69.947336,44.346582,68.207146
-69.947546,44.346443,68.282696
-69.947682,44.346348,69.139874
-69.947902,44.346241,70.130238
-69.948055,44.346133,69.664733
-69.948223,44.346016,66.677032
-69.94827,44.345935,65.962072
-69.94829,44.345776,65.114722
-69.948195,44.345678,68.405278
-69.948109,44.345563,69.844967
-69.948143,44.345474,69.073814
