Longitude,Latitude,Altitude
-69.958511,44.378362,64.036552
-69.958631,44.378124,64.036673
-69.9586,44.377897,64.036853
-69.958497,44.377742,64.03678
-69.958328,44.377644,64.036766
-69.95814,44.377486,64.036708
-69.957976,44.377312,64.036555
-69.957915,44.37717,64.036445
-69.957949,44.377056,64.036482
-69.957845,44.376928,64.036496
-69.957678,44.376842,64.036584
-69.957505,44.376839,64.036571
-69.957227,44.376695,64.036659
-69.957082,44.376576,64.036842
-69.956955,44.376372,64.036708
-69.956748,44.376313,64.036689
-69.956444,44.376357,64.036667
-69.956168,44.376464,64.036737
-69.956037,44.376676,64.036643
-69.956034,44.376888,64.036542
-69.955958,44.377239,64.036375
-69.955883,44.377473,64.036606
-69.955761,44.377668,64.036628
-69.955675,44.377888,64.036905
-69.955696,44.378041,64.03674
-69.95565,44.378243,64.036588
-69.95554,44.378547,64.036458
-69.955511,44.378798,64.036593
-69.955464,44.379071,64.036807
-69.955453,44.379256,64.037098
-69.955489,44.379415,64.036926
-69.955645,44.379574,64.03662
-69.955901,44.379699,64.03645
-69.956268,44.379719,64.036348
-69.956452,44.379761,64.036447
-69.95667,44.37994,64.036501
-69.956715,44.380069,64.036537
-69.95679,44.38019,64.036698
-69.956947,44.380127,64.036536
-69.957073,44.379938,64.036373
-69.957225,44.379706,64.036458
-69.957372,44.379536,64.036616
-69.957463,44.379329,64.03682
-69.95754,44.379149,64.03667
-69.957492,44.379015,64.03654
-69.95763,44.378915,64.036474
-69.957899,44.378812,64.036487
-69.958003,44.378681,64.036568
-69.958204,44.378618,64.036587
-69.958364,44.3785,64.036574
-69.958511,44.378362,64.036552
