Longitude,Latitude,Altitude
-69.95834,44.35975,67.725062
-69.958451,44.35956,66.359041
-69.958412,44.35932,74.704289
-69.958535,44.359194,66.363384
-69.958707,44.358988,64.357711
-69.958718,44.358767,65.406253
-69.958648,44.358624,72.742577
-69.958822,44.358459,65.459241
-69.958783,44.358297,68.406697
-69.958713,44.358114,68.738286
-69.958659,44.357944,67.15794
-69.958598,44.357845,65.909518
-69.958372,44.357801,67.930038
-69.958218,44.357688,65.981967
-69.9581,44.357553,65.204517
-69.958046,44.357326,65.740418
-69.957888,44.357235,69.035681
-69.957773,44.357123,64.629675
-69.957672,44.357138,65.083758
-69.957519,44.357308,64.852858
-69.95737,44.357461,64.992044
-69.957179,44.357582,64.812745
-69.957145,44.35773,67.352382
-69.956908,44.357859,65.633946
-69.956792,44.35802,65.975614
-69.956654,44.358157,65.254487
-69.956494,44.358303,64.141675
-69.956423,44.358533,64.597391
-69.956346,44.358731,65.684498
-69.95629,44.358922,64.036635
-69.95631,44.359139,64.339953
-69.956411,44.359386,66.165477
-69.956422,44.359663,64.473017
-69.956589,44.359986,67.369363
-69.956503,44.360206,64.036737
-69.956549,44.360387,64.036565
-69.95658,44.360517,64.036431
-69.956774,44.360595,64.983314
-69.956952,44.360634,65.273387
-69.957109,44.360704,66.033804
-69.957064,44.360829,64.539997
-69.957129,44.360937,64.427458
-69.95727,44.360904,64.733119
-69.957536,44.360683,69.88086
-69.957738,44.360517,72.33315
-69.957938,44.360382,67.603267
-69.95808,44.36011,71.023107
-69.958195,44.359841,73.498609
-69.95834,44.35975,67.725062
